timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-08-08 13:58:22,0,0,0,0,0,,,,
2017-08-08 13:58:23,0,0,0,0,0,,,,
2017-08-08 13:58:24,0,0,0,0,0,,,,
2017-08-08 13:58:25,1,0,0,4,5,idea,,,
2017-08-08 13:58:26,0,0,0,0,0,,,,
2017-08-08 13:58:27,0,0,0,0,0,,,,
2017-08-08 13:58:28,0,0,0,0,0,,,,
2017-08-08 13:58:29,0,0,0,0,0,,,,
2017-08-08 13:58:30,0,0,0,0,0,,,,
2017-08-08 13:58:31,0,0,0,0,0,,,,
2017-08-08 13:58:32,0,0,0,0,0,,,,
2017-08-08 13:58:33,0,0,0,0,0,,,,
2017-08-08 13:58:34,0,0,0,0,0,,,,
2017-08-08 13:58:35,0,0,0,0,0,,,,
2017-08-08 13:58:36,0,0,0,0,0,,,,
2017-08-08 13:58:37,1,0,0,4,5,ride,,,
2017-08-08 13:58:38,0,0,0,0,0,,,,
2017-08-08 13:58:39,0,0,0,0,0,,,,
2017-08-08 13:58:40,0,0,0,0,0,,,,
2017-08-08 13:58:41,0,0,0,0,0,,,,
2017-08-08 13:58:42,0,0,0,0,0,,,,
2017-08-08 13:58:43,0,0,0,0,0,,,,
2017-08-08 13:58:44,0,0,0,0,0,,,,
2017-08-08 13:58:45,0,0,0,0,0,,,,
2017-08-08 13:58:46,1,0,0,5,6,tried,,,
2017-08-08 13:58:47,0,0,0,0,0,,,,
2017-08-08 13:58:48,0,0,0,0,0,,,,
2017-08-08 13:58:49,0,0,0,0,0,,,,
2017-08-08 13:58:50,0,0,0,0,0,,,,
2017-08-08 13:58:51,1,0,0,4,5,lied,,,
2017-08-08 13:58:52,0,0,0,0,0,,,,
2017-08-08 13:58:53,0,0,0,0,0,,,,
2017-08-08 13:58:54,0,0,0,0,0,,,,
2017-08-08 13:58:55,0,0,0,0,0,,,,
2017-08-08 13:58:56,0,0,0,0,0,,,,
