timestamp,requests,replies,playerRequest,letterRequest,playerReply,letterReply
2017-08-08 17:57:51,0,0,,,,
2017-08-08 17:57:52,0,0,,,,
2017-08-08 17:57:53,0,0,,,,
2017-08-08 17:57:54,0,0,,,,
2017-08-08 17:57:55,0,0,,,,
2017-08-08 17:57:56,0,0,,,,
2017-08-08 17:57:57,0,0,,,,
2017-08-08 17:57:58,0,0,,,,
2017-08-08 17:57:59,0,0,,,,
2017-08-08 17:58:00,0,0,,,,
2017-08-08 17:58:01,0,0,,,,
2017-08-08 17:58:02,0,0,,,,
2017-08-08 17:58:03,0,0,,,,
2017-08-08 17:58:04,0,0,,,,
2017-08-08 17:58:05,0,0,,,,
2017-08-08 17:58:06,0,0,,,,
2017-08-08 17:58:07,0,0,,,,
2017-08-08 17:58:08,0,0,,,,
2017-08-08 17:58:09,0,0,,,,
2017-08-08 17:58:10,0,0,,,,
2017-08-08 17:58:11,1,1,j1okbscz,I,1wzdpuan,
2017-08-08 17:58:12,1,1,d1c070ko,S,6uuzuh53,
2017-08-08 17:58:13,0,0,,,,
2017-08-08 17:58:14,0,0,,,,
2017-08-08 17:58:15,0,0,,,,
2017-08-08 17:58:16,0,0,,,,
2017-08-08 17:58:17,0,1,d1c070ko,,6uuzuh53,S
2017-08-08 17:58:18,0,0,,,,
2017-08-08 17:58:19,0,0,,,,
2017-08-08 17:58:20,1,1,r57fong8,D,1wzdpuan,
2017-08-08 17:58:21,0,0,,,,
2017-08-08 17:58:22,0,0,,,,
2017-08-08 17:58:23,0,2,j1okbscz-r57fong8,,1wzdpuan-1wzdpuan,I-D
2017-08-08 17:58:24,0,0,,,,
2017-08-08 17:58:25,0,0,,,,
2017-08-08 17:58:26,0,0,,,,
2017-08-08 17:58:27,0,0,,,,
2017-08-08 17:58:28,1,1,1wzdpuan,L,r57fong8,
2017-08-08 17:58:29,0,0,,,,
2017-08-08 17:58:30,0,0,,,,
2017-08-08 17:58:31,0,0,,,,
2017-08-08 17:58:32,0,1,1wzdpuan,,r57fong8,L
2017-08-08 17:58:33,0,0,,,,
2017-08-08 17:58:34,0,0,,,,
2017-08-08 17:58:35,0,0,,,,
2017-08-08 17:58:36,1,1,6uuzuh53,R,j1okbscz,
2017-08-08 17:58:37,0,0,,,,
2017-08-08 17:58:38,0,0,,,,
2017-08-08 17:58:39,0,0,,,,
2017-08-08 17:58:40,0,0,,,,
2017-08-08 17:58:41,0,0,,,,
2017-08-08 17:58:42,0,0,,,,
2017-08-08 17:58:43,0,0,,,,
2017-08-08 17:58:44,2,2,1wzdpuan-j1okbscz,R-C,j1okbscz-6uuzuh53,
2017-08-08 17:58:45,0,0,,,,
2017-08-08 17:58:46,0,1,j1okbscz,,6uuzuh53,C
2017-08-08 17:58:47,0,0,,,,
2017-08-08 17:58:48,0,0,,,,
2017-08-08 17:58:49,0,0,,,,
2017-08-08 17:58:50,0,0,,,,
2017-08-08 17:58:51,1,1,r57fong8,M,d1c070ko,
2017-08-08 17:58:52,0,0,,,,
2017-08-08 17:58:53,0,0,,,,
2017-08-08 17:58:54,1,1,j1okbscz,D,1wzdpuan,
2017-08-08 17:58:55,0,0,,,,
2017-08-08 17:58:56,0,1,r57fong8,,d1c070ko,M
2017-08-08 17:58:57,0,0,,,,
2017-08-08 17:58:58,1,1,r57fong8,N,d1c070ko,
2017-08-08 17:58:59,1,1,6uuzuh53,L,j1okbscz,
2017-08-08 17:59:00,0,0,,,,
2017-08-08 17:59:01,0,1,j1okbscz,,1wzdpuan,D
2017-08-08 17:59:02,0,1,r57fong8,,d1c070ko,N
2017-08-08 17:59:03,0,0,,,,
2017-08-08 17:59:04,0,0,,,,
2017-08-08 17:59:05,0,0,,,,
2017-08-08 17:59:06,0,0,,,,
2017-08-08 17:59:07,0,0,,,,
2017-08-08 17:59:08,0,0,,,,
2017-08-08 17:59:09,0,0,,,,
2017-08-08 17:59:10,0,0,,,,
2017-08-08 17:59:11,1,1,d1c070ko,C,6uuzuh53,
2017-08-08 17:59:12,0,0,,,,
2017-08-08 17:59:13,0,1,d1c070ko,,6uuzuh53,C
2017-08-08 17:59:14,0,0,,,,
2017-08-08 17:59:15,0,0,,,,
2017-08-08 17:59:16,0,0,,,,
2017-08-08 17:59:17,0,0,,,,
2017-08-08 17:59:18,0,0,,,,
2017-08-08 17:59:19,0,0,,,,
2017-08-08 17:59:20,0,0,,,,
