timestamp,words,word,numberOfLetters,scrabbleScore
2017-07-28 14:18:31,0,,0,0
2017-07-28 14:18:32,0,,0,0
2017-07-28 14:18:33,0,,0,0
2017-07-28 14:18:34,0,,0,0
2017-07-28 14:18:35,0,,0,0
2017-07-28 14:18:36,0,,0,0
2017-07-28 14:18:37,0,,0,0
2017-07-28 14:18:38,0,,0,0
2017-07-28 14:18:39,0,,0,0
2017-07-28 14:18:40,0,,0,0
2017-07-28 14:18:41,0,,0,0
2017-07-28 14:18:42,0,,0,0
2017-07-28 14:18:43,0,,0,0
2017-07-28 14:18:44,0,,0,0
2017-07-28 14:18:45,0,,0,0
2017-07-28 14:18:46,0,,0,0
2017-07-28 14:18:47,1,ant,3,3
2017-07-28 14:18:48,1,san,3,3
2017-07-28 14:18:49,0,,0,0
2017-07-28 14:18:50,0,,0,0
2017-07-28 14:18:51,1,set,3,3
2017-07-28 14:18:52,1,tan,3,3
2017-07-28 14:18:53,0,,0,0
2017-07-28 14:18:54,0,,0,0
2017-07-28 14:18:55,0,,0,0
2017-07-28 14:18:56,0,,0,0
2017-07-28 14:18:57,0,,0,0
2017-07-28 14:18:58,0,,0,0
2017-07-28 14:18:59,0,,0,0
2017-07-28 14:19:00,0,,0,0
2017-07-28 14:19:01,1,test,4,4
2017-07-28 14:19:02,0,,0,0
2017-07-28 14:19:03,1,dice,4,7
2017-07-28 14:19:04,0,,0,0
2017-07-28 14:19:05,0,,0,0
2017-07-28 14:19:06,0,,0,0
2017-07-28 14:19:07,0,,0,0
2017-07-28 14:19:08,0,,0,0
2017-07-28 14:19:09,0,,0,0
2017-07-28 14:19:10,0,,0,0
2017-07-28 14:19:11,0,,0,0
2017-07-28 14:19:12,0,,0,0
2017-07-28 14:19:13,0,,0,0
2017-07-28 14:19:14,0,,0,0
2017-07-28 14:19:15,0,,0,0
2017-07-28 14:19:16,0,,0,0
2017-07-28 14:19:17,0,,0,0
2017-07-28 14:19:18,0,,0,0
2017-07-28 14:19:19,0,,0,0
2017-07-28 14:19:20,0,,0,0
2017-07-28 14:19:21,0,,0,0
2017-07-28 14:19:22,0,,0,0
2017-07-28 14:19:23,0,,0,0
2017-07-28 14:19:24,0,,0,0
2017-07-28 14:19:25,0,,0,0
2017-07-28 14:19:26,1,sans,4,4
2017-07-28 14:19:27,0,,0,0
2017-07-28 14:19:28,1,deet,4,5
2017-07-28 14:19:29,0,,0,0
2017-07-28 14:19:30,0,,0,0
2017-07-28 14:19:31,0,,0,0
2017-07-28 14:19:32,0,,0,0
2017-07-28 14:19:33,0,,0,0
2017-07-28 14:19:34,0,,0,0
2017-07-28 14:19:35,1,ted,3,4
2017-07-28 14:19:36,0,,0,0
2017-07-28 14:19:37,0,,0,0
2017-07-28 14:19:38,0,,0,0
2017-07-28 14:19:39,0,,0,0
2017-07-28 14:19:40,1,pee,3,5
2017-07-28 14:19:41,0,,0,0
2017-07-28 14:19:42,1,ats,3,3
2017-07-28 14:19:43,1,peed,4,7
2017-07-28 14:19:44,0,,0,0
2017-07-28 14:19:45,1,pip,3,7
2017-07-28 14:19:46,0,,0,0
2017-07-28 14:19:47,0,,0,0
2017-07-28 14:19:48,1,pit,3,5
2017-07-28 14:19:49,0,,0,0
2017-07-28 14:19:50,0,,0,0
2017-07-28 14:19:51,0,,0,0
2017-07-28 14:19:52,0,,0,0
2017-07-28 14:19:53,0,,0,0
2017-07-28 14:19:54,1,dupe,4,7
2017-07-28 14:19:55,0,,0,0
2017-07-28 14:19:56,1,upi,3,5
2017-07-28 14:19:57,0,,0,0
2017-07-28 14:19:58,0,,0,0
2017-07-28 14:19:59,0,,0,0
2017-07-28 14:20:00,0,,0,0
2017-07-28 14:20:01,0,,0,0
2017-07-28 14:20:02,0,,0,0
2017-07-28 14:20:03,1,dude,4,6
2017-07-28 14:20:04,0,,0,0
2017-07-28 14:20:05,0,,0,0
2017-07-28 14:20:06,0,,0,0
