playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,c28394f5,3,0,6,16,19
2,wew8y6d5,4,1,0,8,12
3,j90n3wk9,5,0,1,12,17
4,wvc2awm0,8,0,3,8,16
5,6n7bpiu9,3,0,3,16,19
6,ue95nr3s,8,1,0,6,14
7,57otk8n2,3,1,0,11,14
8,efs6kpyg,3,1,0,6,9
9,f8iqyh17,3,1,0,15,18
10,mmp3a2oi,12,1,0,6,18
