timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-27 20:43:23,0,0,0,0,0,,,,
2017-07-27 20:43:24,0,0,0,0,0,,,,
2017-07-27 20:43:25,0,0,0,0,0,,,,
2017-07-27 20:43:26,0,0,0,0,0,,,,
2017-07-27 20:43:27,0,0,0,0,0,,,,
2017-07-27 20:43:28,1,0,0,7,7,,,situate,
2017-07-27 20:43:29,1,0,0,5,8,,,cards,
2017-07-27 20:43:30,2,1,0,7,11,,8n9puq6e,T-bent-bot,b3bzjv7x
2017-07-27 20:43:31,0,0,0,0,0,,,,
2017-07-27 20:43:32,1,1,0,5,7,,8n9puq6e,R-abets,b3bzjv7x
2017-07-27 20:43:33,2,0,0,9,14,,,knee-rated,
2017-07-27 20:43:34,0,1,1,0,0,,z5lhq79j,R,b3bzjv7x
2017-07-27 20:43:35,0,1,1,0,0,,z5lhq79j,D,b3bzjv7x
2017-07-27 20:43:36,2,0,0,8,9,,,one-darts,
2017-07-27 20:43:37,1,0,0,5,9,,,knees,
2017-07-27 20:43:38,1,0,0,6,6,,,astute,
2017-07-27 20:43:39,0,0,0,0,0,,,,
2017-07-27 20:43:40,1,0,2,3,3,R-D,z5lhq79j-z5lhq79j,not,b3bzjv7x-b3bzjv7x
2017-07-27 20:43:41,0,0,0,0,0,,,,
2017-07-27 20:43:42,0,0,0,0,0,,,,
2017-07-27 20:43:43,1,0,0,4,6,,,beat,
2017-07-27 20:43:44,0,0,0,0,0,,,,
2017-07-27 20:43:45,1,0,0,4,6,,,bust,
2017-07-27 20:43:46,1,0,2,3,4,E-C,dw7sds69-dw7sds69,den,4ft3yddt-z5lhq79j
2017-07-27 20:43:47,0,1,1,0,0,E-C,dw7sds69-dw7sds69-0g1vpmuv,U,v7hqx6y9
2017-07-27 20:43:48,1,0,1,4,5,E,dw7sds69,nerd,z5lhq79j
2017-07-27 20:43:49,1,0,0,4,5,,,dens,
2017-07-27 20:43:50,0,0,0,0,0,,,,
2017-07-27 20:43:51,1,1,0,5,5,,dfpx5x7p,I-saute,h9em0uts
2017-07-27 20:43:52,1,0,0,5,5,,,state,
2017-07-27 20:43:53,1,0,0,5,7,,,trace,
2017-07-27 20:43:54,2,0,0,9,10,,,nerds-teen,
2017-07-27 20:43:55,0,0,0,0,0,,,,
2017-07-27 20:43:56,0,0,0,0,0,,,,
2017-07-27 20:43:57,3,0,0,12,14,,,abs-teens-seat,
2017-07-27 20:43:58,0,1,0,0,0,,e8p2bgna,L,peh9x2qq
2017-07-27 20:43:59,0,0,0,0,0,,,,
2017-07-27 20:44:00,1,0,0,3,5,,,boe,
2017-07-27 20:44:01,0,0,0,0,0,,,,
2017-07-27 20:44:02,1,0,0,3,5,,,bus,
2017-07-27 20:44:03,0,0,0,0,0,,,,
2017-07-27 20:44:04,4,0,0,16,23,,,use-cent-boon-cedar,
2017-07-27 20:44:05,2,0,0,7,10,,,rend-but,
2017-07-27 20:44:06,1,0,0,3,5,,,bon,
2017-07-27 20:44:07,1,0,0,5,7,,,cents,
2017-07-27 20:44:08,1,0,0,4,5,,,send,
2017-07-27 20:44:09,0,0,0,0,0,,,,
2017-07-27 20:44:10,1,0,0,3,3,,,sea,
2017-07-27 20:44:11,1,0,0,3,3,,,tat,
2017-07-27 20:44:12,0,0,0,0,0,,,,
2017-07-27 20:44:13,2,0,0,9,11,,,neet-races,
2017-07-27 20:44:14,1,0,0,4,6,,,race,
2017-07-27 20:44:15,0,0,0,0,0,,,,
2017-07-27 20:44:16,0,0,0,0,0,,,,
2017-07-27 20:44:17,1,0,0,4,4,,,teat,
2017-07-27 20:44:18,2,0,0,8,11,,,test-dace,
2017-07-27 20:44:19,1,0,0,3,5,,,cat,
2017-07-27 20:44:20,1,0,0,5,8,,,daces,
