timestamp,requests,replies,playerRequest,letterRequest,playerReply,letterReply
2017-07-27 20:43:46,0,2,4ft3yddt-z5lhq79j,,dw7sds69-dw7sds69,E-C
2017-07-27 20:43:47,1,1,v7hqx6y9,U,dw7sds69-dw7sds69-0g1vpmuv,E-C
2017-07-27 20:43:48,0,1,z5lhq79j,,dw7sds69,E
2017-07-27 20:43:49,0,0,,,,
2017-07-27 20:43:50,0,0,,,,
2017-07-27 20:43:51,1,0,h9em0uts,I,dfpx5x7p,
2017-07-27 20:43:52,0,0,,,,
2017-07-27 20:43:53,0,0,,,,
2017-07-27 20:43:54,0,0,,,,
2017-07-27 20:43:55,0,0,,,,
2017-07-27 20:43:56,0,0,,,,
2017-07-27 20:43:57,0,0,,,,
2017-07-27 20:43:58,1,0,peh9x2qq,L,e8p2bgna,
2017-07-27 20:43:59,0,0,,,,
2017-07-27 20:44:00,0,0,,,,
2017-07-27 20:44:01,0,0,,,,
2017-07-27 20:44:02,0,0,,,,
2017-07-27 20:44:03,0,0,,,,
2017-07-27 20:44:04,0,0,,,,
2017-07-27 20:44:05,0,0,,,,
2017-07-27 20:44:06,0,0,,,,
2017-07-27 20:44:07,0,0,,,,
2017-07-27 20:44:08,0,0,,,,
2017-07-27 20:44:09,0,0,,,,
2017-07-27 20:44:10,0,0,,,,
2017-07-27 20:44:11,0,0,,,,
2017-07-27 20:44:12,0,0,,,,
2017-07-27 20:44:13,0,0,,,,
2017-07-27 20:44:14,0,0,,,,
2017-07-27 20:44:15,0,0,,,,
2017-07-27 20:44:16,0,0,,,,
2017-07-27 20:44:17,0,0,,,,
2017-07-27 20:44:18,0,0,,,,
2017-07-27 20:44:19,0,0,,,,
2017-07-27 20:44:20,0,0,,,,
2017-07-27 20:44:21,0,0,,,,
2017-07-27 20:44:22,0,0,,,,
2017-07-27 20:44:23,0,0,,,,
2017-07-27 20:44:24,0,0,,,,
2017-07-27 20:44:25,0,0,,,,
2017-07-27 20:44:26,0,0,,,,
2017-07-27 20:44:27,0,0,,,,
2017-07-27 20:44:28,0,0,,,,
2017-07-27 20:44:29,0,0,,,,
2017-07-27 20:44:30,0,0,,,,
2017-07-27 20:44:31,0,0,,,,
2017-07-27 20:44:32,0,0,,,,
2017-07-27 20:44:33,0,0,,,,
2017-07-27 20:44:34,0,0,,,,
2017-07-27 20:44:35,0,0,,,,
2017-07-27 20:44:36,0,0,,,,
2017-07-27 20:44:37,0,0,,,,
2017-07-27 20:44:38,0,0,,,,
2017-07-27 20:44:39,0,0,,,,
2017-07-27 20:44:40,0,0,,,,
2017-07-27 20:44:41,0,0,,,,
2017-07-27 20:44:42,1,0,peh9x2qq,S,e8p2bgna,
2017-07-27 20:44:43,0,0,,,,
2017-07-27 20:44:44,0,0,,,,
2017-07-27 20:44:45,0,0,,,,
2017-07-27 20:44:46,0,0,,,,
2017-07-27 20:44:47,0,0,,,,
2017-07-27 20:44:48,0,0,,,,
2017-07-27 20:44:49,0,0,,,,
2017-07-27 20:44:50,0,0,,,,
2017-07-27 20:44:51,0,0,,,,
2017-07-27 20:44:52,0,0,,,,
2017-07-27 20:44:53,0,0,,,,
2017-07-27 20:44:54,1,1,peh9x2qq,I,v7hqx6y9,
2017-07-27 20:44:55,0,0,,,,
2017-07-27 20:44:56,0,0,,,,
2017-07-27 20:44:57,0,0,,,,
2017-07-27 20:44:58,0,0,,,,
2017-07-27 20:44:59,0,0,,,,
2017-07-27 20:45:00,0,0,,,,
2017-07-27 20:45:01,0,0,,,,
2017-07-27 20:45:02,1,1,h9em0uts,L,bica5cnd,
2017-07-27 20:45:03,0,0,,,,
2017-07-27 20:45:04,0,1,h9em0uts,,bica5cnd,L
2017-07-27 20:45:05,0,0,,,,
2017-07-27 20:45:06,0,0,,,,
2017-07-27 20:45:07,0,0,,,,
2017-07-27 20:45:08,0,0,,,,
2017-07-27 20:45:09,0,0,,,,
2017-07-27 20:45:10,0,0,,,,
2017-07-27 20:45:11,0,0,,,,
2017-07-27 20:45:12,0,0,,,,
2017-07-27 20:45:13,0,0,,,,
2017-07-27 20:45:14,0,0,,,,
2017-07-27 20:45:15,0,0,,,,
2017-07-27 20:45:16,0,0,,,,
2017-07-27 20:45:17,0,0,,,,
2017-07-27 20:45:18,0,0,,,,
2017-07-27 20:45:19,0,0,,,,
2017-07-27 20:45:20,0,0,,,,
2017-07-27 20:45:21,0,0,,,,
2017-07-27 20:45:22,0,0,,,,
2017-07-27 20:45:23,0,0,,,,
2017-07-27 20:45:24,0,0,,,,
2017-07-27 20:45:25,0,0,,,,
2017-07-27 20:45:26,0,0,,,,
2017-07-27 20:45:27,0,0,,,,
2017-07-27 20:45:28,0,0,,,,
2017-07-27 20:45:29,0,0,,,,
2017-07-27 20:45:30,0,0,,,,
2017-07-27 20:45:31,0,0,,,,
2017-07-27 20:45:32,0,0,,,,
2017-07-27 20:45:33,0,0,,,,
2017-07-27 20:45:34,0,0,,,,
2017-07-27 20:45:35,1,1,h9em0uts,B,bica5cnd,
2017-07-27 20:45:36,0,0,,,,
2017-07-27 20:45:37,0,1,h9em0uts,,bica5cnd,B
2017-07-27 20:45:38,0,0,,,,
2017-07-27 20:45:39,0,0,,,,
2017-07-27 20:45:40,0,0,,,,
2017-07-27 20:45:41,0,0,,,,
2017-07-27 20:45:42,0,0,,,,
2017-07-27 20:45:43,0,0,,,,
2017-07-27 20:45:44,0,0,,,,
2017-07-27 20:45:45,0,0,,,,
2017-07-27 20:45:46,0,0,,,,
2017-07-27 20:45:47,0,0,,,,
2017-07-27 20:45:48,0,3,4ft3yddt-4ft3yddt-v7hqx6y9,,0g1vpmuv-0g1vpmuv-0g1vpmuv,E-T-U
2017-07-27 20:45:49,0,0,,,,
2017-07-27 20:45:50,0,0,,,,
2017-07-27 20:45:51,0,0,,,,
2017-07-27 20:45:52,0,0,,,,
2017-07-27 20:45:53,0,0,,,,
2017-07-27 20:45:54,0,0,,,,
2017-07-27 20:45:55,0,0,,,,
2017-07-27 20:45:56,0,0,,,,
2017-07-27 20:45:57,0,0,,,,
2017-07-27 20:45:58,0,0,,,,
2017-07-27 20:45:59,0,0,,,,
2017-07-27 20:46:00,0,0,,,,
2017-07-27 20:46:01,0,0,,,,
2017-07-27 20:46:02,0,0,,,,
2017-07-27 20:46:03,1,0,h9em0uts,D,dfpx5x7p,
2017-07-27 20:46:04,0,0,,,,
2017-07-27 20:46:05,0,0,,,,
2017-07-27 20:46:06,0,0,,,,
2017-07-27 20:46:07,0,0,,,,
2017-07-27 20:46:08,0,0,,,,
2017-07-27 20:46:09,0,0,,,,
2017-07-27 20:46:10,0,0,,,,
2017-07-27 20:46:11,0,0,,,,
2017-07-27 20:46:12,0,0,,,,
2017-07-27 20:46:13,0,0,,,,
2017-07-27 20:46:14,0,0,,,,
2017-07-27 20:46:15,0,0,,,,
2017-07-27 20:46:16,0,0,,,,
2017-07-27 20:46:17,0,0,,,,
2017-07-27 20:46:18,0,0,,,,
2017-07-27 20:46:19,0,0,,,,
2017-07-27 20:46:20,0,0,,,,
2017-07-27 20:46:21,0,0,,,,
2017-07-27 20:46:22,0,0,,,,
2017-07-27 20:46:23,0,0,,,,
2017-07-27 20:46:24,0,0,,,,
2017-07-27 20:46:25,0,0,,,,
2017-07-27 20:46:26,0,0,,,,
2017-07-27 20:46:27,1,0,h9em0uts,R,dfpx5x7p,
2017-07-27 20:46:28,0,0,,,,
2017-07-27 20:46:29,0,0,,,,
2017-07-27 20:46:30,0,0,,,,
2017-07-27 20:46:31,0,0,,,,
2017-07-27 20:46:32,0,0,,,,
2017-07-27 20:46:33,0,0,,,,
2017-07-27 20:46:34,0,0,,,,
2017-07-27 20:46:35,0,0,,,,
2017-07-27 20:46:36,0,0,,,,
2017-07-27 20:46:37,0,0,,,,
2017-07-27 20:46:38,0,0,,,,
2017-07-27 20:46:39,0,0,,,,
2017-07-27 20:46:40,0,0,,,,
2017-07-27 20:46:41,0,0,,,,
2017-07-27 20:46:42,0,0,,,,
2017-07-27 20:46:43,0,0,,,,
2017-07-27 20:46:44,0,0,,,,
2017-07-27 20:46:45,0,0,,,,
2017-07-27 20:46:46,0,0,,,,
2017-07-27 20:46:47,0,0,,,,
2017-07-27 20:46:48,0,0,,,,
2017-07-27 20:46:49,0,0,,,,
2017-07-27 20:46:50,0,1,peh9x2qq,,v7hqx6y9,I
2017-07-27 20:46:51,0,0,,,,
2017-07-27 20:46:52,0,0,,,,
2017-07-27 20:46:53,0,0,,,,
2017-07-27 20:46:54,0,0,,,,
2017-07-27 20:46:55,0,0,,,,
2017-07-27 20:46:56,1,1,h9em0uts,Q,bica5cnd,
2017-07-27 20:46:57,0,33,h9em0uts,,bica5cnd,Q
2017-07-27 20:46:58,0,33,,,,
2017-07-27 20:46:59,0,33,,,,
2017-07-27 20:47:00,0,33,,,,
2017-07-27 20:47:01,0,33,,,,
2017-07-27 20:47:02,0,33,,,,
