timestamp,words,word,numberOfLetters,scrabbleScore
2017-07-27 20:44:28,1,tuba,4,6
2017-07-27 20:44:29,1,cute,4,6
2017-07-27 20:44:30,1,tube,4,6
2017-07-27 20:44:31,0,,0,0
2017-07-27 20:44:32,1,dart,4,5
2017-07-27 20:44:33,0,,0,0
2017-07-27 20:44:34,0,,0,0
2017-07-27 20:44:35,1,tubes,5,7
2017-07-27 20:44:36,0,,0,0
2017-07-27 20:44:37,0,,0,0
2017-07-27 20:44:38,1,rat,3,3
2017-07-27 20:44:39,1,rates,5,5
2017-07-27 20:44:40,1,bet,3,5
2017-07-27 20:44:41,1,rate,4,4
2017-07-27 20:44:42,0,,0,0
2017-07-27 20:44:43,0,,0,0
2017-07-27 20:44:44,0,,0,0
2017-07-27 20:44:45,1,tubaist,7,9
2017-07-27 20:44:46,0,,0,0
2017-07-27 20:44:47,0,,0,0
2017-07-27 20:44:48,0,,0,0
2017-07-27 20:44:49,1,daters,6,7
2017-07-27 20:44:50,0,,0,0
2017-07-27 20:44:51,1,statue,6,6
2017-07-27 20:44:52,0,,0,0
2017-07-27 20:44:53,0,,0,0
2017-07-27 20:44:54,0,,0,0
2017-07-27 20:44:55,0,,0,0
2017-07-27 20:44:56,0,,0,0
2017-07-27 20:44:57,2,suite-eon,8,8
2017-07-27 20:44:58,0,,0,0
2017-07-27 20:44:59,1,ted,3,4
2017-07-27 20:45:00,0,,0,0
2017-07-27 20:45:01,0,,0,0
2017-07-27 20:45:02,0,,0,0
2017-07-27 20:45:03,0,,0,0
2017-07-27 20:45:04,1,tabs,4,6
2017-07-27 20:45:05,1,tate,4,4
2017-07-27 20:45:06,2,ken-tab,6,12
2017-07-27 20:45:07,0,,0,0
2017-07-27 20:45:08,0,,0,0
2017-07-27 20:45:09,1,note,4,4
2017-07-27 20:45:10,0,,0,0
2017-07-27 20:45:11,1,not,3,3
2017-07-27 20:45:12,1,derk,4,9
2017-07-27 20:45:13,0,,0,0
2017-07-27 20:45:14,1,net,3,3
2017-07-27 20:45:15,0,,0,0
2017-07-27 20:45:16,1,nets,4,4
2017-07-27 20:45:17,1,sei,3,3
2017-07-27 20:45:18,0,,0,0
2017-07-27 20:45:19,1,hel,3,6
2017-07-27 20:45:20,0,,0,0
2017-07-27 20:45:21,0,,0,0
2017-07-27 20:45:22,1,tease,5,5
2017-07-27 20:45:23,1,butt,4,6
2017-07-27 20:45:24,1,rend,4,5
2017-07-27 20:45:25,1,beta,4,6
2017-07-27 20:45:26,0,,0,0
2017-07-27 20:45:27,0,,0,0
2017-07-27 20:45:28,1,rends,5,6
2017-07-27 20:45:29,0,,0,0
2017-07-27 20:45:30,2,state-baste,10,12
2017-07-27 20:45:31,0,,0,0
2017-07-27 20:45:32,0,,0,0
2017-07-27 20:45:33,3,sacred-bastes-states,18,23
2017-07-27 20:45:34,0,,0,0
2017-07-27 20:45:35,0,,0,0
2017-07-27 20:45:36,0,,0,0
2017-07-27 20:45:37,2,tent-net,7,7
2017-07-27 20:45:38,1,dern,4,5
2017-07-27 20:45:39,0,,0,0
2017-07-27 20:45:40,0,,0,0
2017-07-27 20:45:41,3,suites-kern-cadets,16,23
2017-07-27 20:45:42,0,,0,0
2017-07-27 20:45:43,2,bel-cadet,8,13
2017-07-27 20:45:44,0,,0,0
2017-07-27 20:45:45,1,ton,3,3
2017-07-27 20:45:46,0,,0,0
2017-07-27 20:45:47,1,ten,3,3
2017-07-27 20:45:48,0,,0,0
2017-07-27 20:45:49,1,traces,6,8
2017-07-27 20:45:50,1,ace,3,5
2017-07-27 20:45:51,1,derk,4,9
2017-07-27 20:45:52,1,carets,6,8
2017-07-27 20:45:53,0,,0,0
2017-07-27 20:45:54,0,,0,0
2017-07-27 20:45:55,0,,0,0
2017-07-27 20:45:56,1,tone,4,4
2017-07-27 20:45:57,2,recast-cast,10,14
2017-07-27 20:45:58,0,,0,0
2017-07-27 20:45:59,0,,0,0
2017-07-27 20:46:00,2,but-nes,6,8
2017-07-27 20:46:01,1,butt,4,6
2017-07-27 20:46:02,0,,0,0
2017-07-27 20:46:03,1,des,3,4
2017-07-27 20:46:04,2,astute-res,9,9
2017-07-27 20:46:05,0,,0,0
2017-07-27 20:46:06,0,,0,0
2017-07-27 20:46:07,1,tent,4,4
2017-07-27 20:46:08,2,stabs-net,8,10
2017-07-27 20:46:09,0,,0,0
2017-07-27 20:46:10,2,tents-states,11,11
2017-07-27 20:46:11,0,,0,0
2017-07-27 20:46:12,0,,0,0
2017-07-27 20:46:13,0,,0,0
2017-07-27 20:46:14,1,sen,3,3
2017-07-27 20:46:15,0,,0,0
2017-07-27 20:46:16,1,beaut,5,7
2017-07-27 20:46:17,0,,0,0
2017-07-27 20:46:18,0,,0,0
2017-07-27 20:46:19,0,,0,0
2017-07-27 20:46:20,1,ten,3,3
2017-07-27 20:46:21,1,redacts,7,10
2017-07-27 20:46:22,0,,0,0
2017-07-27 20:46:23,1,bent,4,6
2017-07-27 20:46:24,1,abuse,5,7
2017-07-27 20:46:25,1,tube,4,6
2017-07-27 20:46:26,1,abuses,6,8
2017-07-27 20:46:27,0,,0,0
2017-07-27 20:46:28,1,tub,3,5
2017-07-27 20:46:29,1,scarted,7,10
2017-07-27 20:46:30,1,bet,3,5
2017-07-27 20:46:31,1,cut,3,5
2017-07-27 20:46:32,0,,0,0
2017-07-27 20:46:33,0,,0,0
2017-07-27 20:46:34,0,,0,0
2017-07-27 20:46:35,1,statues,7,7
2017-07-27 20:46:36,1,uno,3,3
2017-07-27 20:46:37,1,sken,4,8
2017-07-27 20:46:38,1,cuts,4,6
2017-07-27 20:46:39,0,,0,0
2017-07-27 20:46:40,0,,0,0
2017-07-27 20:46:41,0,,0,0
2017-07-27 20:46:42,0,,0,0
2017-07-27 20:46:43,1,bone,4,6
2017-07-27 20:46:44,2,situates-nes,11,11
2017-07-27 20:46:45,0,,0,0
2017-07-27 20:46:46,0,,0,0
2017-07-27 20:46:47,0,,0,0
2017-07-27 20:46:48,0,,0,0
2017-07-27 20:46:49,1,bon,3,5
2017-07-27 20:46:50,0,,0,0
2017-07-27 20:46:51,0,,0,0
2017-07-27 20:46:52,2,teat-sub,7,9
2017-07-27 20:46:53,0,,0,0
2017-07-27 20:46:54,0,,0,0
2017-07-27 20:46:55,0,,0,0
2017-07-27 20:46:56,1,tine,4,4
2017-07-27 20:46:57,1,subs,4,6
2017-07-27 20:46:58,2,bun-stubs,8,12
2017-07-27 20:46:59,1,bin,3,5
2017-07-27 20:47:00,2,stub-bine,8,12
2017-07-27 20:47:01,0,,0,0
2017-07-27 20:47:02,1,ton,3,3
