session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,1,1,welcome,Introduction,1502214495,17,37,False
1,1,1,2,demographic,Consent,1502214506,11,37,False
1,1,1,4,demographic,Demographic_Condensed,1502214526,20,37,False
1,1,1,5,instructions_anagrams,Introduction,1502214530,4,37,False
1,1,1,6,instructions_anagrams,JoinTeamWaitPage,1502214773,243,37,False
1,1,1,7,instructions_anagrams,TeamSummary,1502214785,12,37,False
1,1,1,8,instructions_anagrams,DifiIndexBefore,1502214800,15,37,False
1,1,1,9,instructions_anagrams,InstructionsPhase1,1502214894,94,37,False
1,1,1,10,instructions_anagrams,InstructionsPhase1_Quiz,1502214934,40,37,False
1,1,1,11,anagrams,WaitPage,1502215077,143,26,False
1,1,1,12,anagrams,Anagrams,1502215381,304,26,True
1,1,1,13,anagrams,ResultsWaitPage,1502215382,1,26,False
1,1,1,14,anagrams,Results,1502215396,14,26,False
1,1,1,15,anagrams,DifiIndexAfter,1502215403,7,26,False
1,1,1,16,ruse,Introduction,1502215408,5,37,False
1,1,1,17,ruse,OpinionPage,1502215422,14,37,False
1,1,1,18,ruse,WaitPage,1502215441,19,37,False
1,1,1,19,ruse,Results,1502215445,4,37,False
1,1,1,20,instructions_pgg,Introduction,1502215454,9,37,False
1,1,1,21,instructions_pgg,InstructionsPhase2,1502215463,9,37,False
1,1,1,22,instructions_pgg,InstructionsPhase2_Quiz,1502215489,26,37,False
1,1,1,23,public_goods,WaitPage,1502215531,42,37,False
1,1,1,24,public_goods,Contribute,1502215552,21,37,False
1,1,1,25,public_goods,ResultsWaitPage,1502215576,24,37,False
1,1,1,27,public_goods,DifiIndex,1502215586,10,37,False
1,1,1,28,public_goods,Results,1502215603,17,37,False
1,1,1,29,demographic_detailed,SurveyConsent,1502215614,11,37,False
1,1,1,30,demographic_detailed,Demographic,1502215761,147,37,False
1,1,1,31,demographic_detailed,Results,1502215765,4,37,False
1,1,1,32,conclusion,Results,1502215782,17,37,False
1,2,2,1,welcome,Introduction,1502214516,13,37,False
1,2,2,2,demographic,Consent,1502214532,16,37,False
1,2,2,4,demographic,Demographic_Condensed,1502214550,18,37,False
